rank,id,round,score,exact,under,over,extremeOver,totalOnsets,parameters
16,r009-0048-7dd6a03b,9,308,7,2,0,0,113,"{""relativeReattackFactor"":3.661669,""relativeReattackMinDelta"":0.011637,""relativeFluxFactor"":1.594235,""spectralNoveltyRatio"":3.177986,""spectralNoveltyMinBins"":58,""cooldownFrames"":5,""cooldownOverrideFactor"":2.664496,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.071633,""analyzeIntervalMs"":41}"
17,r009-0054-4ca8cdcd,9,308,7,2,0,0,113,"{""relativeReattackFactor"":3.445628,""relativeReattackMinDelta"":0.010888,""relativeFluxFactor"":1.537164,""spectralNoveltyRatio"":3.595845,""spectralNoveltyMinBins"":56,""cooldownFrames"":5,""cooldownOverrideFactor"":2.496997,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.069118,""analyzeIntervalMs"":41}"
18,r009-0059-1a661525,9,308,7,2,0,0,113,"{""relativeReattackFactor"":3.408925,""relativeReattackMinDelta"":0.010288,""relativeFluxFactor"":1.409018,""spectralNoveltyRatio"":3.645978,""spectralNoveltyMinBins"":57,""cooldownFrames"":5,""cooldownOverrideFactor"":2.519973,""cooldownOverrideMinFlux"":0.028735,""cooldownOverrideMinBandRatio"":0.066163,""analyzeIntervalMs"":41}"
19,r009-0065-14d7074e,9,308,7,2,0,0,113,"{""relativeReattackFactor"":3.448307,""relativeReattackMinDelta"":0.009326,""relativeFluxFactor"":1.413313,""spectralNoveltyRatio"":3.476086,""spectralNoveltyMinBins"":58,""cooldownFrames"":5,""cooldownOverrideFactor"":2.596101,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.071,""analyzeIntervalMs"":41}"
20,r009-0067-a2417455,9,308,7,2,0,0,113,"{""relativeReattackFactor"":3.41457,""relativeReattackMinDelta"":0.010984,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.662995,""spectralNoveltyMinBins"":57,""cooldownFrames"":5,""cooldownOverrideFactor"":2.519692,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.067984,""analyzeIntervalMs"":41}"
21,r009-0073-b04f9d1e,9,308,7,2,0,0,113,"{""relativeReattackFactor"":3.633706,""relativeReattackMinDelta"":0.011158,""relativeFluxFactor"":1.469927,""spectralNoveltyRatio"":2.989499,""spectralNoveltyMinBins"":56,""cooldownFrames"":5,""cooldownOverrideFactor"":2.755175,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.070073,""analyzeIntervalMs"":41}"
22,r009-0078-9f6a60ba,9,308,7,2,0,0,113,"{""relativeReattackFactor"":3.629991,""relativeReattackMinDelta"":0.011015,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.039342,""spectralNoveltyMinBins"":58,""cooldownFrames"":5,""cooldownOverrideFactor"":2.548967,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.066569,""analyzeIntervalMs"":41}"
23,r009-0080-8cf9276f,9,308,7,2,0,0,113,"{""relativeReattackFactor"":3.56051,""relativeReattackMinDelta"":0.009978,""relativeFluxFactor"":1.43984,""spectralNoveltyRatio"":3.355503,""spectralNoveltyMinBins"":58,""cooldownFrames"":5,""cooldownOverrideFactor"":2.724477,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.072592,""analyzeIntervalMs"":41}"
24,r010-0003-1e31db2f,10,308,7,2,0,0,113,"{""relativeReattackFactor"":3.532094,""relativeReattackMinDelta"":0.010982,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.224361,""spectralNoveltyMinBins"":56,""cooldownFrames"":5,""cooldownOverrideFactor"":2.656019,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.070529,""analyzeIntervalMs"":41}"
25,r010-0004-b0580aad,10,308,7,2,0,0,113,"{""relativeReattackFactor"":3.481088,""relativeReattackMinDelta"":0.010415,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.682532,""spectralNoveltyMinBins"":55,""cooldownFrames"":5,""cooldownOverrideFactor"":2.63888,""cooldownOverrideMinFlux"":0.029747,""cooldownOverrideMinBandRatio"":0.065563,""analyzeIntervalMs"":41}"
26,r010-0009-a8b7a5d0,10,308,7,2,0,0,113,"{""relativeReattackFactor"":3.485872,""relativeReattackMinDelta"":0.011276,""relativeFluxFactor"":1.412511,""spectralNoveltyRatio"":3.358971,""spectralNoveltyMinBins"":56,""cooldownFrames"":5,""cooldownOverrideFactor"":2.688489,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.066155,""analyzeIntervalMs"":41}"
27,r010-0013-f84ac15b,10,308,7,2,0,0,113,"{""relativeReattackFactor"":3.623315,""relativeReattackMinDelta"":0.011733,""relativeFluxFactor"":1.539858,""spectralNoveltyRatio"":3.214681,""spectralNoveltyMinBins"":58,""cooldownFrames"":5,""cooldownOverrideFactor"":2.556746,""cooldownOverrideMinFlux"":0.029187,""cooldownOverrideMinBandRatio"":0.068146,""analyzeIntervalMs"":41}"
28,r010-0015-32fd1a6a,10,308,7,2,0,0,113,"{""relativeReattackFactor"":3.495188,""relativeReattackMinDelta"":0.010585,""relativeFluxFactor"":1.563165,""spectralNoveltyRatio"":3.529646,""spectralNoveltyMinBins"":57,""cooldownFrames"":5,""cooldownOverrideFactor"":2.666253,""cooldownOverrideMinFlux"":0.02955,""cooldownOverrideMinBandRatio"":0.072529,""analyzeIntervalMs"":41}"
29,r010-0016-5fa43caa,10,308,7,2,0,0,113,"{""relativeReattackFactor"":3.396692,""relativeReattackMinDelta"":0.010809,""relativeFluxFactor"":1.508869,""spectralNoveltyRatio"":3.563425,""spectralNoveltyMinBins"":58,""cooldownFrames"":5,""cooldownOverrideFactor"":2.471677,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.066602,""analyzeIntervalMs"":41}"
30,r010-0018-2ba1770d,10,308,7,2,0,0,113,"{""relativeReattackFactor"":3.603584,""relativeReattackMinDelta"":0.011206,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.310649,""spectralNoveltyMinBins"":59,""cooldownFrames"":5,""cooldownOverrideFactor"":2.694294,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.066861,""analyzeIntervalMs"":41}"
31,r010-0022-998c89d4,10,308,7,2,0,0,113,"{""relativeReattackFactor"":3.452424,""relativeReattackMinDelta"":0.011069,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.614272,""spectralNoveltyMinBins"":55,""cooldownFrames"":5,""cooldownOverrideFactor"":2.550452,""cooldownOverrideMinFlux"":0.029349,""cooldownOverrideMinBandRatio"":0.066864,""analyzeIntervalMs"":41}"
32,r010-0025-cc9c9cab,10,308,7,2,0,0,113,"{""relativeReattackFactor"":3.475481,""relativeReattackMinDelta"":0.010433,""relativeFluxFactor"":1.610571,""spectralNoveltyRatio"":3.241964,""spectralNoveltyMinBins"":57,""cooldownFrames"":5,""cooldownOverrideFactor"":2.655854,""cooldownOverrideMinFlux"":0.029582,""cooldownOverrideMinBandRatio"":0.07094,""analyzeIntervalMs"":41}"
33,r010-0027-9843c589,10,308,7,2,0,0,113,"{""relativeReattackFactor"":3.369043,""relativeReattackMinDelta"":0.010369,""relativeFluxFactor"":1.468178,""spectralNoveltyRatio"":3.611886,""spectralNoveltyMinBins"":57,""cooldownFrames"":5,""cooldownOverrideFactor"":2.55041,""cooldownOverrideMinFlux"":0.02969,""cooldownOverrideMinBandRatio"":0.067892,""analyzeIntervalMs"":41}"
34,r010-0028-3869f1b5,10,308,7,2,0,0,113,"{""relativeReattackFactor"":3.673725,""relativeReattackMinDelta"":0.011649,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.201931,""spectralNoveltyMinBins"":57,""cooldownFrames"":5,""cooldownOverrideFactor"":2.556163,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.071629,""analyzeIntervalMs"":41}"
35,r010-0048-92f83a15,10,308,7,2,0,0,113,"{""relativeReattackFactor"":3.518382,""relativeReattackMinDelta"":0.012232,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.055164,""spectralNoveltyMinBins"":57,""cooldownFrames"":5,""cooldownOverrideFactor"":2.60396,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.069573,""analyzeIntervalMs"":41}"
36,r010-0050-0e955984,10,308,7,2,0,0,113,"{""relativeReattackFactor"":3.498297,""relativeReattackMinDelta"":0.009276,""relativeFluxFactor"":1.613033,""spectralNoveltyRatio"":3.411879,""spectralNoveltyMinBins"":57,""cooldownFrames"":5,""cooldownOverrideFactor"":2.722875,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.069639,""analyzeIntervalMs"":41}"
37,r010-0057-67afea30,10,308,7,2,0,0,113,"{""relativeReattackFactor"":3.441665,""relativeReattackMinDelta"":0.011047,""relativeFluxFactor"":1.612302,""spectralNoveltyRatio"":3.446233,""spectralNoveltyMinBins"":56,""cooldownFrames"":5,""cooldownOverrideFactor"":2.494044,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.06811,""analyzeIntervalMs"":41}"
38,r010-0058-e80aff91,10,308,7,2,0,0,113,"{""relativeReattackFactor"":3.5272,""relativeReattackMinDelta"":0.010761,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.290959,""spectralNoveltyMinBins"":58,""cooldownFrames"":5,""cooldownOverrideFactor"":2.732851,""cooldownOverrideMinFlux"":0.029165,""cooldownOverrideMinBandRatio"":0.070975,""analyzeIntervalMs"":41}"
39,r010-0063-4839d062,10,308,7,2,0,0,113,"{""relativeReattackFactor"":3.672276,""relativeReattackMinDelta"":0.011643,""relativeFluxFactor"":1.444729,""spectralNoveltyRatio"":3.201447,""spectralNoveltyMinBins"":58,""cooldownFrames"":5,""cooldownOverrideFactor"":2.668008,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.067668,""analyzeIntervalMs"":41}"
40,r010-0072-0adb25a8,10,308,7,2,0,0,113,"{""relativeReattackFactor"":3.517283,""relativeReattackMinDelta"":0.010516,""relativeFluxFactor"":1.502926,""spectralNoveltyRatio"":3.534359,""spectralNoveltyMinBins"":55,""cooldownFrames"":5,""cooldownOverrideFactor"":2.516713,""cooldownOverrideMinFlux"":0.02929,""cooldownOverrideMinBandRatio"":0.067587,""analyzeIntervalMs"":41}"
41,r010-0073-505d59d9,10,308,7,2,0,0,113,"{""relativeReattackFactor"":3.618265,""relativeReattackMinDelta"":0.011722,""relativeFluxFactor"":1.576396,""spectralNoveltyRatio"":3.101422,""spectralNoveltyMinBins"":58,""cooldownFrames"":5,""cooldownOverrideFactor"":2.513009,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.069412,""analyzeIntervalMs"":41}"
42,r010-0080-ff3cf505,10,308,7,2,0,0,113,"{""relativeReattackFactor"":3.482966,""relativeReattackMinDelta"":0.009739,""relativeFluxFactor"":1.571441,""spectralNoveltyRatio"":3.53232,""spectralNoveltyMinBins"":55,""cooldownFrames"":5,""cooldownOverrideFactor"":2.751369,""cooldownOverrideMinFlux"":0.029705,""cooldownOverrideMinBandRatio"":0.068355,""analyzeIntervalMs"":41}"
43,r011-0004-24592a00,11,308,7,2,0,0,113,"{""relativeReattackFactor"":3.394383,""relativeReattackMinDelta"":0.011414,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.646282,""spectralNoveltyMinBins"":57,""cooldownFrames"":5,""cooldownOverrideFactor"":2.50115,""cooldownOverrideMinFlux"":0.028834,""cooldownOverrideMinBandRatio"":0.067456,""analyzeIntervalMs"":41}"
44,r011-0008-9d6c59b2,11,308,7,2,0,0,113,"{""relativeReattackFactor"":3.640246,""relativeReattackMinDelta"":0.011089,""relativeFluxFactor"":1.524213,""spectralNoveltyRatio"":3.229837,""spectralNoveltyMinBins"":57,""cooldownFrames"":5,""cooldownOverrideFactor"":2.714237,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.070685,""analyzeIntervalMs"":41}"
45,r011-0012-12ed5cf7,11,308,7,2,0,0,113,"{""relativeReattackFactor"":3.44773,""relativeReattackMinDelta"":0.010581,""relativeFluxFactor"":1.582965,""spectralNoveltyRatio"":3.617975,""spectralNoveltyMinBins"":55,""cooldownFrames"":5,""cooldownOverrideFactor"":2.537257,""cooldownOverrideMinFlux"":0.029552,""cooldownOverrideMinBandRatio"":0.065419,""analyzeIntervalMs"":41}"
46,r011-0013-82f79e92,11,308,7,2,0,0,113,"{""relativeReattackFactor"":3.557824,""relativeReattackMinDelta"":0.011062,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.006512,""spectralNoveltyMinBins"":58,""cooldownFrames"":5,""cooldownOverrideFactor"":2.565791,""cooldownOverrideMinFlux"":0.029835,""cooldownOverrideMinBandRatio"":0.06842,""analyzeIntervalMs"":41}"
47,r011-0014-7946eacb,11,308,7,2,0,0,113,"{""relativeReattackFactor"":3.346267,""relativeReattackMinDelta"":0.010351,""relativeFluxFactor"":1.427739,""spectralNoveltyRatio"":3.644804,""spectralNoveltyMinBins"":58,""cooldownFrames"":5,""cooldownOverrideFactor"":2.633013,""cooldownOverrideMinFlux"":0.029348,""cooldownOverrideMinBandRatio"":0.06796,""analyzeIntervalMs"":41}"
48,r011-0023-5cd58613,11,308,7,2,0,0,112,"{""relativeReattackFactor"":3.689146,""relativeReattackMinDelta"":0.012223,""relativeFluxFactor"":1.486241,""spectralNoveltyRatio"":3.037334,""spectralNoveltyMinBins"":58,""cooldownFrames"":5,""cooldownOverrideFactor"":2.700785,""cooldownOverrideMinFlux"":0.029825,""cooldownOverrideMinBandRatio"":0.06752,""analyzeIntervalMs"":41}"
49,r011-0025-fd332191,11,308,7,2,0,0,113,"{""relativeReattackFactor"":3.484988,""relativeReattackMinDelta"":0.010049,""relativeFluxFactor"":1.425685,""spectralNoveltyRatio"":3.359027,""spectralNoveltyMinBins"":57,""cooldownFrames"":5,""cooldownOverrideFactor"":2.60713,""cooldownOverrideMinFlux"":0.029016,""cooldownOverrideMinBandRatio"":0.069518,""analyzeIntervalMs"":41}"
50,r011-0037-3afc9d45,11,308,7,2,0,0,113,"{""relativeReattackFactor"":3.387919,""relativeReattackMinDelta"":0.011467,""relativeFluxFactor"":1.538588,""spectralNoveltyRatio"":3.632108,""spectralNoveltyMinBins"":57,""cooldownFrames"":5,""cooldownOverrideFactor"":2.640197,""cooldownOverrideMinFlux"":0.029012,""cooldownOverrideMinBandRatio"":0.065464,""analyzeIntervalMs"":41}"
51,r011-0040-5e4e1b48,11,308,7,2,0,0,113,"{""relativeReattackFactor"":3.586845,""relativeReattackMinDelta"":0.010415,""relativeFluxFactor"":1.479956,""spectralNoveltyRatio"":3.3737,""spectralNoveltyMinBins"":58,""cooldownFrames"":5,""cooldownOverrideFactor"":2.694557,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.071317,""analyzeIntervalMs"":41}"
52,r011-0045-995b283c,11,308,7,2,0,0,113,"{""relativeReattackFactor"":3.486528,""relativeReattackMinDelta"":0.009185,""relativeFluxFactor"":1.459461,""spectralNoveltyRatio"":3.224635,""spectralNoveltyMinBins"":56,""cooldownFrames"":5,""cooldownOverrideFactor"":2.579936,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.068266,""analyzeIntervalMs"":41}"
53,r011-0058-0ebd7d10,11,308,7,2,0,0,113,"{""relativeReattackFactor"":3.615463,""relativeReattackMinDelta"":0.011843,""relativeFluxFactor"":1.523846,""spectralNoveltyRatio"":3.221294,""spectralNoveltyMinBins"":57,""cooldownFrames"":5,""cooldownOverrideFactor"":2.558064,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.067516,""analyzeIntervalMs"":41}"
54,r011-0064-1e1f148c,11,308,7,2,0,0,113,"{""relativeReattackFactor"":3.426343,""relativeReattackMinDelta"":0.010424,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.569777,""spectralNoveltyMinBins"":58,""cooldownFrames"":5,""cooldownOverrideFactor"":2.525807,""cooldownOverrideMinFlux"":0.029869,""cooldownOverrideMinBandRatio"":0.066246,""analyzeIntervalMs"":41}"
55,r011-0065-9edb0810,11,308,7,2,0,0,113,"{""relativeReattackFactor"":3.529898,""relativeReattackMinDelta"":0.009772,""relativeFluxFactor"":1.487709,""spectralNoveltyRatio"":3.266298,""spectralNoveltyMinBins"":58,""cooldownFrames"":5,""cooldownOverrideFactor"":2.594125,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.069771,""analyzeIntervalMs"":41}"
56,r011-0071-6e3d4861,11,308,7,2,0,0,113,"{""relativeReattackFactor"":3.48295,""relativeReattackMinDelta"":0.011246,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.323435,""spectralNoveltyMinBins"":57,""cooldownFrames"":5,""cooldownOverrideFactor"":2.445817,""cooldownOverrideMinFlux"":0.029848,""cooldownOverrideMinBandRatio"":0.067956,""analyzeIntervalMs"":41}"
57,r011-0075-861e6f92,11,308,7,2,0,0,113,"{""relativeReattackFactor"":3.469587,""relativeReattackMinDelta"":0.010105,""relativeFluxFactor"":1.434997,""spectralNoveltyRatio"":3.256601,""spectralNoveltyMinBins"":58,""cooldownFrames"":5,""cooldownOverrideFactor"":2.736646,""cooldownOverrideMinFlux"":0.029936,""cooldownOverrideMinBandRatio"":0.071804,""analyzeIntervalMs"":41}"
58,r011-0078-7323ca6f,11,308,7,2,0,0,113,"{""relativeReattackFactor"":3.558164,""relativeReattackMinDelta"":0.011922,""relativeFluxFactor"":1.56629,""spectralNoveltyRatio"":3.233094,""spectralNoveltyMinBins"":59,""cooldownFrames"":5,""cooldownOverrideFactor"":2.713705,""cooldownOverrideMinFlux"":0.029935,""cooldownOverrideMinBandRatio"":0.069633,""analyzeIntervalMs"":41}"
59,r011-0080-26c24d34,11,308,7,2,0,0,113,"{""relativeReattackFactor"":3.617726,""relativeReattackMinDelta"":0.010198,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.306791,""spectralNoveltyMinBins"":56,""cooldownFrames"":5,""cooldownOverrideFactor"":2.647767,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.071449,""analyzeIntervalMs"":41}"
60,r012-0001-bcccf2bd,12,308,7,2,0,0,113,"{""relativeReattackFactor"":3.490424,""relativeReattackMinDelta"":0.010945,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.331523,""spectralNoveltyMinBins"":56,""cooldownFrames"":5,""cooldownOverrideFactor"":2.584139,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.06936,""analyzeIntervalMs"":41}"
61,r012-0003-82eea8f4,12,308,7,2,0,0,113,"{""relativeReattackFactor"":3.558568,""relativeReattackMinDelta"":0.011007,""relativeFluxFactor"":1.411801,""spectralNoveltyRatio"":3.038595,""spectralNoveltyMinBins"":58,""cooldownFrames"":5,""cooldownOverrideFactor"":2.688105,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.070985,""analyzeIntervalMs"":41}"
62,r012-0005-e731551d,12,308,7,2,0,0,113,"{""relativeReattackFactor"":3.56733,""relativeReattackMinDelta"":0.009951,""relativeFluxFactor"":1.583547,""spectralNoveltyRatio"":3.426277,""spectralNoveltyMinBins"":58,""cooldownFrames"":5,""cooldownOverrideFactor"":2.558685,""cooldownOverrideMinFlux"":0.029481,""cooldownOverrideMinBandRatio"":0.068342,""analyzeIntervalMs"":41}"
63,r012-0006-01a44946,12,308,7,2,0,0,113,"{""relativeReattackFactor"":3.542147,""relativeReattackMinDelta"":0.010807,""relativeFluxFactor"":1.521802,""spectralNoveltyRatio"":3.47596,""spectralNoveltyMinBins"":57,""cooldownFrames"":5,""cooldownOverrideFactor"":2.446738,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.063884,""analyzeIntervalMs"":41}"
64,r012-0007-ccf301be,12,308,7,2,0,0,113,"{""relativeReattackFactor"":3.446129,""relativeReattackMinDelta"":0.011368,""relativeFluxFactor"":1.589729,""spectralNoveltyRatio"":3.643322,""spectralNoveltyMinBins"":55,""cooldownFrames"":5,""cooldownOverrideFactor"":2.617047,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.067983,""analyzeIntervalMs"":41}"
65,r012-0008-bf75ad18,12,308,7,2,0,0,113,"{""relativeReattackFactor"":3.638061,""relativeReattackMinDelta"":0.011633,""relativeFluxFactor"":1.441007,""spectralNoveltyRatio"":3.092302,""spectralNoveltyMinBins"":58,""cooldownFrames"":5,""cooldownOverrideFactor"":2.539948,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.070218,""analyzeIntervalMs"":41}"
66,r012-0018-310f7870,12,308,7,2,0,0,113,"{""relativeReattackFactor"":3.521151,""relativeReattackMinDelta"":0.011261,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.140675,""spectralNoveltyMinBins"":56,""cooldownFrames"":5,""cooldownOverrideFactor"":2.575966,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.069536,""analyzeIntervalMs"":41}"
