rank,id,round,score,exact,under,over,extremeUnder,extremeOver,totalOnsets,parameters
1,r017-0032-afdea89c,17,154,4,0,9,0,0,142,"{""relativeReattackFactor"":3.632824,""relativeReattackMinDelta"":0.004,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":5.112982,""spectralNoveltyMinBins"":21,""cooldownFrames"":4,""confirmedRmsFactor"":1.666455,""confirmedRmsMinDelta"":0.005542,""confirmedFluxFactor"":1.754475,""confirmedMinFlux"":0.003,""confirmedMinBandRatio"":0.027501,""confirmedSpectralNoveltyMinBins"":15,""cooldownOverrideFactor"":3.210712,""cooldownOverrideMinFlux"":0.026548,""cooldownOverrideMinBandRatio"":0.067885,""analyzeIntervalMs"":41}"
2,r011-0021-71b98842,11,84,3,0,10,0,0,143,"{""relativeReattackFactor"":3.518519,""relativeReattackMinDelta"":0.004957,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":4.154872,""spectralNoveltyMinBins"":27,""cooldownFrames"":3,""confirmedRmsFactor"":1.618337,""confirmedRmsMinDelta"":0.007887,""confirmedFluxFactor"":2.161276,""confirmedMinFlux"":0.003841,""confirmedMinBandRatio"":0.012552,""confirmedSpectralNoveltyMinBins"":12,""cooldownOverrideFactor"":2.218543,""cooldownOverrideMinFlux"":0.028738,""cooldownOverrideMinBandRatio"":0.079485,""analyzeIntervalMs"":41}"
3,r011-0027-2258b7ab,11,84,3,0,10,0,0,143,"{""relativeReattackFactor"":3.574927,""relativeReattackMinDelta"":0.004658,""relativeFluxFactor"":1.421848,""spectralNoveltyRatio"":4.123413,""spectralNoveltyMinBins"":26,""cooldownFrames"":3,""confirmedRmsFactor"":1.561295,""confirmedRmsMinDelta"":0.007239,""confirmedFluxFactor"":2.242979,""confirmedMinFlux"":0.005058,""confirmedMinBandRatio"":0.016643,""confirmedSpectralNoveltyMinBins"":9,""cooldownOverrideFactor"":2.385982,""cooldownOverrideMinFlux"":0.028076,""cooldownOverrideMinBandRatio"":0.073856,""analyzeIntervalMs"":41}"
4,r011-0039-b5b96ab3,11,84,3,0,10,0,0,144,"{""relativeReattackFactor"":3.538769,""relativeReattackMinDelta"":0.006399,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":4.0075,""spectralNoveltyMinBins"":26,""cooldownFrames"":3,""confirmedRmsFactor"":1.552256,""confirmedRmsMinDelta"":0.007603,""confirmedFluxFactor"":2.125912,""confirmedMinFlux"":0.003647,""confirmedMinBandRatio"":0.01394,""confirmedSpectralNoveltyMinBins"":13,""cooldownOverrideFactor"":2.098515,""cooldownOverrideMinFlux"":0.029845,""cooldownOverrideMinBandRatio"":0.080513,""analyzeIntervalMs"":41}"
5,r011-0051-1fa6f2fa,11,84,3,0,10,0,0,143,"{""relativeReattackFactor"":3.56677,""relativeReattackMinDelta"":0.004924,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":4.05226,""spectralNoveltyMinBins"":27,""cooldownFrames"":3,""confirmedRmsFactor"":1.573973,""confirmedRmsMinDelta"":0.008006,""confirmedFluxFactor"":2.127707,""confirmedMinFlux"":0.004861,""confirmedMinBandRatio"":0.012639,""confirmedSpectralNoveltyMinBins"":13,""cooldownOverrideFactor"":2.241464,""cooldownOverrideMinFlux"":0.028668,""cooldownOverrideMinBandRatio"":0.079619,""analyzeIntervalMs"":41}"
6,r012-0005-d4f88bf6,12,84,3,0,10,0,0,143,"{""relativeReattackFactor"":3.520871,""relativeReattackMinDelta"":0.004522,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.982187,""spectralNoveltyMinBins"":27,""cooldownFrames"":3,""confirmedRmsFactor"":1.623907,""confirmedRmsMinDelta"":0.007477,""confirmedFluxFactor"":2.075642,""confirmedMinFlux"":0.004237,""confirmedMinBandRatio"":0.013084,""confirmedSpectralNoveltyMinBins"":12,""cooldownOverrideFactor"":2.189766,""cooldownOverrideMinFlux"":0.029974,""cooldownOverrideMinBandRatio"":0.079995,""analyzeIntervalMs"":41}"
7,r012-0014-d386560b,12,84,3,0,10,0,0,144,"{""relativeReattackFactor"":3.600253,""relativeReattackMinDelta"":0.004376,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.885841,""spectralNoveltyMinBins"":26,""cooldownFrames"":3,""confirmedRmsFactor"":1.576931,""confirmedRmsMinDelta"":0.008301,""confirmedFluxFactor"":2.110522,""confirmedMinFlux"":0.004452,""confirmedMinBandRatio"":0.012628,""confirmedSpectralNoveltyMinBins"":13,""cooldownOverrideFactor"":2.170713,""cooldownOverrideMinFlux"":0.027933,""cooldownOverrideMinBandRatio"":0.080673,""analyzeIntervalMs"":41}"
8,r012-0021-6b22e59d,12,84,3,0,10,0,0,143,"{""relativeReattackFactor"":3.574061,""relativeReattackMinDelta"":0.00539,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":4.193204,""spectralNoveltyMinBins"":26,""cooldownFrames"":3,""confirmedRmsFactor"":1.658192,""confirmedRmsMinDelta"":0.008059,""confirmedFluxFactor"":2.160575,""confirmedMinFlux"":0.003948,""confirmedMinBandRatio"":0.012582,""confirmedSpectralNoveltyMinBins"":11,""cooldownOverrideFactor"":2.163795,""cooldownOverrideMinFlux"":0.029221,""cooldownOverrideMinBandRatio"":0.080072,""analyzeIntervalMs"":41}"
9,r012-0037-db2a0e3d,12,84,3,0,10,0,0,142,"{""relativeReattackFactor"":3.602807,""relativeReattackMinDelta"":0.004741,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":4.032058,""spectralNoveltyMinBins"":28,""cooldownFrames"":3,""confirmedRmsFactor"":1.556285,""confirmedRmsMinDelta"":0.007583,""confirmedFluxFactor"":2.232562,""confirmedMinFlux"":0.004472,""confirmedMinBandRatio"":0.015424,""confirmedSpectralNoveltyMinBins"":9,""cooldownOverrideFactor"":2.350441,""cooldownOverrideMinFlux"":0.028444,""cooldownOverrideMinBandRatio"":0.075141,""analyzeIntervalMs"":41}"
10,r012-0044-a190e5a7,12,84,3,0,10,0,0,143,"{""relativeReattackFactor"":3.599041,""relativeReattackMinDelta"":0.004479,""relativeFluxFactor"":1.410349,""spectralNoveltyRatio"":4.015825,""spectralNoveltyMinBins"":28,""cooldownFrames"":3,""confirmedRmsFactor"":1.565454,""confirmedRmsMinDelta"":0.008248,""confirmedFluxFactor"":2.13046,""confirmedMinFlux"":0.004824,""confirmedMinBandRatio"":0.01396,""confirmedSpectralNoveltyMinBins"":13,""cooldownOverrideFactor"":2.295309,""cooldownOverrideMinFlux"":0.028506,""cooldownOverrideMinBandRatio"":0.077364,""analyzeIntervalMs"":41}"
11,r012-0045-5d536960,12,84,3,0,10,0,0,144,"{""relativeReattackFactor"":3.550644,""relativeReattackMinDelta"":0.004413,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.944889,""spectralNoveltyMinBins"":26,""cooldownFrames"":3,""confirmedRmsFactor"":1.569955,""confirmedRmsMinDelta"":0.007551,""confirmedFluxFactor"":2.100811,""confirmedMinFlux"":0.004221,""confirmedMinBandRatio"":0.012858,""confirmedSpectralNoveltyMinBins"":11,""cooldownOverrideFactor"":2.148237,""cooldownOverrideMinFlux"":0.029012,""cooldownOverrideMinBandRatio"":0.080457,""analyzeIntervalMs"":41}"
12,r012-0048-7de3e8a3,12,84,3,0,10,0,0,144,"{""relativeReattackFactor"":3.498089,""relativeReattackMinDelta"":0.006979,""relativeFluxFactor"":1.400727,""spectralNoveltyRatio"":3.847433,""spectralNoveltyMinBins"":27,""cooldownFrames"":3,""confirmedRmsFactor"":1.561159,""confirmedRmsMinDelta"":0.007268,""confirmedFluxFactor"":2.16133,""confirmedMinFlux"":0.003165,""confirmedMinBandRatio"":0.013165,""confirmedSpectralNoveltyMinBins"":12,""cooldownOverrideFactor"":2.030211,""cooldownOverrideMinFlux"":0.0293,""cooldownOverrideMinBandRatio"":0.082494,""analyzeIntervalMs"":41}"
13,r012-0054-e17ee435,12,84,3,0,10,0,0,142,"{""relativeReattackFactor"":3.587458,""relativeReattackMinDelta"":0.004428,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":4.098279,""spectralNoveltyMinBins"":28,""cooldownFrames"":3,""confirmedRmsFactor"":1.613473,""confirmedRmsMinDelta"":0.008277,""confirmedFluxFactor"":2.083937,""confirmedMinFlux"":0.005201,""confirmedMinBandRatio"":0.011879,""confirmedSpectralNoveltyMinBins"":13,""cooldownOverrideFactor"":2.188222,""cooldownOverrideMinFlux"":0.028566,""cooldownOverrideMinBandRatio"":0.080257,""analyzeIntervalMs"":41}"
14,r012-0056-6e95c092,12,84,3,0,10,0,0,142,"{""relativeReattackFactor"":3.520176,""relativeReattackMinDelta"":0.004439,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":4.159078,""spectralNoveltyMinBins"":29,""cooldownFrames"":3,""confirmedRmsFactor"":1.603137,""confirmedRmsMinDelta"":0.007914,""confirmedFluxFactor"":2.174134,""confirmedMinFlux"":0.004505,""confirmedMinBandRatio"":0.013897,""confirmedSpectralNoveltyMinBins"":11,""cooldownOverrideFactor"":2.137202,""cooldownOverrideMinFlux"":0.028138,""cooldownOverrideMinBandRatio"":0.07963,""analyzeIntervalMs"":41}"
15,r012-0058-7020b847,12,84,3,0,10,0,0,143,"{""relativeReattackFactor"":3.528776,""relativeReattackMinDelta"":0.006576,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":4.016057,""spectralNoveltyMinBins"":28,""cooldownFrames"":3,""confirmedRmsFactor"":1.57071,""confirmedRmsMinDelta"":0.007569,""confirmedFluxFactor"":2.077677,""confirmedMinFlux"":0.003687,""confirmedMinBandRatio"":0.014807,""confirmedSpectralNoveltyMinBins"":14,""cooldownOverrideFactor"":2.045869,""cooldownOverrideMinFlux"":0.029878,""cooldownOverrideMinBandRatio"":0.082703,""analyzeIntervalMs"":41}"
16,r012-0062-a976936c,12,84,3,0,10,0,0,143,"{""relativeReattackFactor"":3.512482,""relativeReattackMinDelta"":0.004961,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":4.108281,""spectralNoveltyMinBins"":26,""cooldownFrames"":3,""confirmedRmsFactor"":1.555162,""confirmedRmsMinDelta"":0.007634,""confirmedFluxFactor"":2.207794,""confirmedMinFlux"":0.004559,""confirmedMinBandRatio"":0.015852,""confirmedSpectralNoveltyMinBins"":9,""cooldownOverrideFactor"":2.494295,""cooldownOverrideMinFlux"":0.027085,""cooldownOverrideMinBandRatio"":0.073334,""analyzeIntervalMs"":41}"
17,r012-0064-b410a109,12,84,3,0,10,0,0,144,"{""relativeReattackFactor"":3.628738,""relativeReattackMinDelta"":0.005408,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.940587,""spectralNoveltyMinBins"":27,""cooldownFrames"":3,""confirmedRmsFactor"":1.585888,""confirmedRmsMinDelta"":0.007755,""confirmedFluxFactor"":2.14561,""confirmedMinFlux"":0.004976,""confirmedMinBandRatio"":0.012048,""confirmedSpectralNoveltyMinBins"":12,""cooldownOverrideFactor"":2.358351,""cooldownOverrideMinFlux"":0.029222,""cooldownOverrideMinBandRatio"":0.080993,""analyzeIntervalMs"":41}"
18,r012-0066-8c27625a,12,84,3,0,10,0,0,143,"{""relativeReattackFactor"":3.566136,""relativeReattackMinDelta"":0.005019,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":4.253685,""spectralNoveltyMinBins"":26,""cooldownFrames"":3,""confirmedRmsFactor"":1.660123,""confirmedRmsMinDelta"":0.007553,""confirmedFluxFactor"":2.157563,""confirmedMinFlux"":0.004003,""confirmedMinBandRatio"":0.011555,""confirmedSpectralNoveltyMinBins"":12,""cooldownOverrideFactor"":2.211656,""cooldownOverrideMinFlux"":0.028395,""cooldownOverrideMinBandRatio"":0.081764,""analyzeIntervalMs"":41}"
19,r012-0076-e13ab3b5,12,84,3,0,10,0,0,143,"{""relativeReattackFactor"":3.520093,""relativeReattackMinDelta"":0.004211,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":4.282879,""spectralNoveltyMinBins"":26,""cooldownFrames"":3,""confirmedRmsFactor"":1.644153,""confirmedRmsMinDelta"":0.00802,""confirmedFluxFactor"":2.210907,""confirmedMinFlux"":0.004082,""confirmedMinBandRatio"":0.011118,""confirmedSpectralNoveltyMinBins"":11,""cooldownOverrideFactor"":2.284452,""cooldownOverrideMinFlux"":0.029134,""cooldownOverrideMinBandRatio"":0.078093,""analyzeIntervalMs"":41}"
20,r012-0079-f60e65f1,12,84,3,0,10,0,0,142,"{""relativeReattackFactor"":3.619945,""relativeReattackMinDelta"":0.005535,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":4.196584,""spectralNoveltyMinBins"":29,""cooldownFrames"":3,""confirmedRmsFactor"":1.536129,""confirmedRmsMinDelta"":0.008009,""confirmedFluxFactor"":2.127783,""confirmedMinFlux"":0.004206,""confirmedMinBandRatio"":0.013825,""confirmedSpectralNoveltyMinBins"":13,""cooldownOverrideFactor"":2.320288,""cooldownOverrideMinFlux"":0.029201,""cooldownOverrideMinBandRatio"":0.07969,""analyzeIntervalMs"":41}"
21,r013-0003-53a05790,13,84,3,0,10,0,0,143,"{""relativeReattackFactor"":3.499125,""relativeReattackMinDelta"":0.005742,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":4.089013,""spectralNoveltyMinBins"":26,""cooldownFrames"":3,""confirmedRmsFactor"":1.559508,""confirmedRmsMinDelta"":0.007758,""confirmedFluxFactor"":2.112837,""confirmedMinFlux"":0.003367,""confirmedMinBandRatio"":0.014994,""confirmedSpectralNoveltyMinBins"":12,""cooldownOverrideFactor"":2.000196,""cooldownOverrideMinFlux"":0.029122,""cooldownOverrideMinBandRatio"":0.078744,""analyzeIntervalMs"":41}"
